step,1-1hit,1-2hit,1-3hit,2-1hit,2-2hit,2-3hit,
384,0.0762,0.0742,0.0732,0.1348,0.0752,0.0742,
385,0.0762,0.0742,0.0732,0.1357,0.0752,0.0742,
386,0.0762,0.0742,0.0742,0.1357,0.0752,0.0752,
387,0.0771,0.0752,0.0742,0.1357,0.0752,0.0752,
388,0.0771,0.0752,0.0742,0.1377,0.0752,0.0752,
389,0.0771,0.0752,0.0742,0.1377,0.0762,0.0752,
390,0.0771,0.0752,0.0742,0.1377,0.0762,0.0752,
391,0.0771,0.0752,0.0742,0.1387,0.0762,0.0752,
392,0.0771,0.0771,0.0762,0.1387,0.0762,0.0762,
393,0.0781,0.0771,0.0762,0.1387,0.0762,0.0762,
394,0.0781,0.0771,0.0762,0.1396,0.0762,0.0762,
395,0.0781,0.0771,0.0762,0.1396,0.0771,0.0762,
396,0.0781,0.0771,0.0762,0.1396,0.0771,0.0762,
397,0.0781,0.0771,0.0762,0.1396,0.0771,0.0762,
398,0.0791,0.0781,0.0771,0.1406,0.0771,0.0771,
399,0.0791,0.0781,0.0771,0.1406,0.0771,0.0771,
400,0.0791,0.0781,0.0771,0.1406,0.0771,0.0771,
401,0.0791,0.0781,0.0771,0.1416,0.0791,0.0771,
402,0.0791,0.0781,0.0771,0.1416,0.0791,0.0771,
403,0.0791,0.0781,0.0781,0.1416,0.0791,0.0781,
404,0.0811,0.0791,0.0781,0.1426,0.0791,0.0781,
405,0.0811,0.0791,0.0781,0.1426,0.0791,0.0781,
406,0.0811,0.0791,0.0781,0.1426,0.0791,0.0781,
407,0.0811,0.0791,0.0781,0.1445,0.0801,0.0781,
408,0.0811,0.0791,0.0781,0.1445,0.0801,0.0781,
409,0.0811,0.0791,0.0791,0.1445,0.0801,0.0801,
410,0.0820,0.0801,0.0791,0.1455,0.0801,0.0801,
411,0.0820,0.0801,0.0791,0.1455,0.0801,0.0801,
412,0.0820,0.0801,0.0791,0.1455,0.0811,0.0801,
413,0.0820,0.0801,0.0791,0.1465,0.0811,0.0801,
414,0.0820,0.0801,0.0791,0.1465,0.0811,0.0801,
